Name,Platform,Followers,Niche,Engagement,Content Type,Link,Source,PlatformGroup
Aidaptive ,X (formerly Twitter) ,299 ,"Science & Technology, AI ",Not Specified ,"Posts, Media ",https://x.com/aidaptive_ ,Multiple Sources (including text snippets) ,X (Twitter)
insightdottech ,X (formerly Twitter) ,Not Specified ,"AI, Digital Transformation ",Not Specified ,Not Specified ,https://x.com/insightdottech ,Multiple Sources (including text snippets) ,X (Twitter)
@chidambara09 ,X (formerly Twitter) ,Not Specified ,Tech Enthusiast/Developer ,Not Specified ,Not Specified ,https://x.com/chidambara09 ,Multiple Sources (including text snippets) ,X (Twitter)
Evan Kirstel ,X (formerly Twitter) ,Not Specified ,Tech Enthusiast/Developer ,Not Specified ,Not Specified ,https://x.com/EvanKirstel ,Multiple Sources (including text snippets) ,X (Twitter)
Jim Harris ,X (formerly Twitter) ,Not Specified ,Tech Enthusiast/Developer ,Not Specified ,Not Specified ,https://x.com/JimHarris ,Multiple Sources (including text snippets) ,X (Twitter)
Harold Sinnott ,X (formerly Twitter) ,Not Specified ,Tech Enthusiast/Developer ,Not Specified ,Not Specified ,https://x.com/HaroldSinnott ,Multiple Sources (including text snippets) ,X (Twitter)
enilev ,X (formerly Twitter) ,Not Specified ,Tech Enthusiast/Developer ,Not Specified ,Not Specified ,https://x.com/enilev ,Multiple Sources (including text snippets) ,X (Twitter)
BetaMoroney ,X (formerly Twitter) ,Not Specified ,Tech Enthusiast/Developer ,Not Specified ,Not Specified ,https://x.com/BetaMoroney ,Multiple Sources (including text snippets) ,X (Twitter)
ASUS ,X (formerly Twitter) ,Not Specified ,Tech ,Not Specified ,Not Specified ,https://x.com/ASUS ,Multiple Sources (including text snippets) ,X (Twitter)
nvidia ,X (formerly Twitter) ,Not Specified ,Tech ,Not Specified ,Not Specified ,https://x.com/nvidia ,Multiple Sources (including text snippets) ,X (Twitter)
Matt Szaton ,YouTube ,Unknown (Subscribers: 24200) ,"AI Influencer Creation, Automation Tools ","High (Likes: 611, Views: 24171) ","Tutorials, Videos on AI tools, Automation ","[https://mattszaton.com/apob2](https://mattszaton.com/apob2), [https://www.skool.com/monetizers](https://www.skool.com/monetizers), [https://mattszaton.com/aitools](https://mattszaton.com/aitools) ",Matt Szaton's Content ,YouTube
Philipp Weiser ,YouTube ,Unknown (Subscribers: 3560) ,"AI Influencer Creation, Tool Recommendations ","Moderate (Likes: 178, Views: 4514) ","Tutorials, Analysis of AI Influencer Tools ",[https://youtu.be/NSql2_C6ZOo?si=CseBT29qK7ZLLu50](https://youtu.be/NSql2_C6ZOo?si=CseBT29qK7ZLLu50) ,Learning from the Best: Creating AI Influencers in 2025 ,YouTube
Dan Kieft ,YouTube ,Unknown (Views: 28875) ,"AI Influencer Monetization, Tool Recommendations ",High (Views: 28875) ,"Tutorials, Videos on AI Influencer Monetization ","[https://openart.ai/home?ref=aitanalopez](https://openart.ai/home?ref=aitanalopez), [https://www.fanvue.com/signup?referral=FV-Z11BFP](https://www.fanvue.com/signup?referral=FV-Z11BFP) ",How AI-Generated Influencers Are Earning Millions ,YouTube
CNBC ,YouTube ,4059999 Subscribers ,"AI Influencers, Future of Content ","High (Likes: 4083, Views: 216150) ","Documentary, Analysis of AI Influencers ",[https://cnb.cx/SubscribeCNBC](https://cnb.cx/SubscribeCNBC) ,How AI-Generated Influencers Are Earning Millions ,YouTube
Jason Lee ,YouTube ,165000 Subscribers ,"AI Influencer Monetization, Tool Recommendations ",High (Views: 50894) ,"Tutorials, Videos on AI Influencer Monetization ","[https://go.heyjasonlee.com/arcads](https://go.heyjasonlee.com/arcads), [https://www.skool.com/creatorx](https://www.skool.com/creatorx) ",How to Make Money with AI Influencers like Aitana Lopez ,YouTube
Tess Barclay & Busy Blooming ,YouTube ,89900 Subscribers ,"AI Influencer Content Creation, Tool Recommendations ","Moderate (Likes: 440, Views: 9673) ","Tutorials笅, Content Creation with AI ","[https://apple.co/3OsCVEK](https://apple.co/3OsCVEK), [https://bit.ly/3CHpmPo](https://bit.ly/3CHpmPo) ",My Full Review of 2025s Top AI Influencers ,YouTube
The View ,YouTube ,188K Views ,"AI Influencers, Future of Content ",High (Views: 188K) ,"Documentary, Analysis of AI Influencers ",[https://cnb.cx/SubscribeCNBC](https://cnb.cx/SubscribeCNBC) ,My Full Review of 2025s Top AI Influencers ,YouTube
Jason Lee ,YouTube ,165000 Subscribers ,"AI Influencer Monetization, Tool Recommendations ",High (Views: 50894) ,"Tutorials, Videos on AI Influencer Monetization ","[https://go.heyjasonlee.com/arcads](https://go.heyjasonlee.com/arcads), [https://www.skool.com/creatorx](https://www.skool.com/creatorx) ",How to Make Money with AI Influencers like Aitana Lopez ,YouTube
Emily Pellegrini ,Instagram ,"377,237 ",AI Education/Research ,N/A ,Photo ,@professor.ep ,Text ,Instagram
Avani ,Instagram ,N/A ,N/A ,N/A ,N/A ,N/A ,Text ,Instagram
Leo Michaela ,Instagram ,3M+ ,AI Influencer ,N/A ,N/A ,N/A ,Text ,Instagram
Shudu Gram ,Instagram ,N/A ,N/A ,N/A ,N/A ,N/A ,Text ,Instagram
Lu do Magalu ,"Instagram, YouTube, TikTok, Facebook, X ",30M+ ,N/A ,N/A ,N/A ,N/A ,Text ,Instagram
Stella ,Instagram ,N/A ,N/A ,N/A ,Photo ,N/A ,Text ,Instagram
Sabrina Ramonov ,TikTok ,Unknown ,"AI Education, AI Avatars, Content Creation ",High (Implied by multiple mentions & references) ,"Tutorials, Tips, AI Avatar Creation ",@Sabrina Ramonov ,Multiple Replying Posts ,TikTok
CatGPT ,TikTok ,Unknown ,AI Content Generation ,High (Implied by multiple mentions) ,AI-Generated Content ,@CatGPT ,Multiple Replying Posts ,TikTok
Brand ,TikTok ,Unknown ,Branding & Content Creation with AI ,High (Implied by multiple mentions) ,AI-Driven Branding ,@Brand ,Multiple Replying Posts ,TikTok
Lexxi Rosaé ,TikTok ,Unknown ,"AI Influencer, Digital Model, Content Creation ",High (Implied by multiple mentions) ,"Style Inspiration, AI Content ",I’m Lexxi Rosaé ,Multiple Replying Posts ,TikTok
Aidaptive ,X (formerly Twitter) ,299 ,"Science & Technology, AI ",(Implied - based on posts) ,(Implied - based on posts) ,https://x.com/aidaptive_ ,"Text provided in December 8, 2024 ",X (Twitter)
insightdottech ,X (formerly Twitter) ,(Not Specified) ,"AI, Digital Transformation ",(Not Specified) ,(Not Specified) ,https://x.com/insightdottech ,"Text provided in December 8, 2024 ",X (Twitter)
@chidambara09 ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/chidambara09 ,"Text provided in December 8, 2024 ",X (Twitter)
Evan Kirstel ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/EvanKirstel ,"Text provided in December 8, 2024 ",X (Twitter)
Jim Harris ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/JimHarris ,"Text provided in December 8, 2024 ",X (Twitter)
Harold Sinnott ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/HaroldSinnott ,"Text provided in December 8, 2024 ",X (Twitter)
enilev ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/enilev ,"Text provided in December 8, 2024 ",X (Twitter)
BetaMoroney ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/BetaMoroney ,"Text provided in December 8, 2024 ",X (Twitter)
ASUS ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/ASUS ,"Text provided in December 8, 2024 ",X (Twitter)
nvidia ,X (formerly Twitter) ,(Not Specified) ,Tech Enthusiast/Developer ,(Not Specified) ,(Not Specified) ,https://x.com/nvidia ,"Text provided in December 8, 2024 ",X (Twitter)
SwissCognitive ,X (formerly Twitter) ,(Not Specified) ,AI ,(Not Specified) ,(Not Specified) ,https://x.com/SwissCognitive ,"Text provided in December 8, 2024 ",X (Twitter)
Matt Szaton ,YouTube ,Unknown (Subscribers: 24200) ,"AI Influencer Creation, Automation Tools ","High (Likes: 611, Views: 24171) ","Tutorials, Videos on AI Tools ","[https://mattszaton.com/apob2](https://mattszaton.com/apob2), [https://www.skool.com/monetizers](https://www.skool.com/monetizers), [https://mattszaton.com/aitools](https://mattszaton.com/aitools) ",Matt Szaton's Content ,YouTube
Philipp Weiser ,YouTube ,Unknown (Subscribers: 3560) ,"AI Influencer Creation, Tool Recommendations ","Moderate (Likes: 178, Views: 4514) ","Tutorials, Analysis of AI Influencer Tools ","[https://you.tu.be/NSql2_C6ZOo](https://you.tu.be/NSql2_C6ZOo), [https://rendernet.ai/?via=philipp](https://rendernet.ai/?via=philipp), [https://fal.ai/models/fal-ai/flux-lora-portrait-trainer](https://fal.ai/models/fal-ai/flux-lora-portrait-trainer), [https://genfluence.ai/](https://genfluence.ai/), [https://www.thinkdiffusion.com/](https://www.thinkdiffusion.com/), [https://www.freepik.com/](https://www.freepik.com/) ",Philipp Weiser's Content ,YouTube
Dan Kieft ,YouTube ,Unknown (Views: 28875) ,AI Influencer Monetization ,High (Views: 28875) ,"Tutorials, How-to Guides on Monetizing AI Influencers ","[https://openart.ai/home?ref=aitanalopez](https://openart.ai/home?ref=aitanalopez), [https://www.fanvue.com/signup?referral=FV-Z11BFP](https://www.fanvue.com/signup?referral=FV-Z11BFP) ",Dan Kieft's Content ,YouTube
Jason Lee ,YouTube ,Unknown (Subscribers: 165000) ,"AI Influencer Creation, Monetization ",High (Views: 50894) ,"Tutorials, How-to Guides on Monetizing AI Influencers ","[https://go.heyjasonlee.com/arcads](https://go.heyjasonlee.com/arcads), [https://www.skool.com/creatorx](https://www.skool.com/creatorx) ",Jason Lee's Content ,YouTube
Tess Barclay & Busy Blooming ,YouTube ,Unknown (Subscribers: 89900) ,"AI Influencer Content Creation, Social Media Growth ","Moderate (Likes: 440, Views: 9673) ","Tutorials, Content Coaching, Hollis, Analytics ","[https://get.descript.com/tess](https://get.descript.com/tess), [https://try.web.clickup.com/tess](https://try.web.clickup.com/tess), [https://riverside.fm/?via=tess-barclay](https://riverside.fm/?via=tess-barclay), [https://getrella.com/?via=busyblooming](https://getrella.com/?via=busyblooming), [https://www.amazon.com/shop/tessbarclay/list/2BC4A75G9DJ8F](https://www.amazon.com/shop/tessbarclay/list/2BC4A75G9DJ8F) ",Tess Barclay & Busy Blooming's Content ,YouTube
Emily Pellegrini ,Instagram ,"377,237 ",AI Education/Research ,Not Specified ,Photo ,@professor.ep ,Text ,Instagram
Avani ,Instagram ,Not Specified ,AI Marketing ,Not Specified ,Not Specified ,Not Specified ,Text ,Instagram
Leo Michaela ,Instagram ,3M+ ,AI Influencer ,Not Specified ,Not Specified ,Not Specified ,Text ,Instagram
Shudu Gram ,Instagram ,Not Specified ,Digital Fashion/Beauty ,Not Specified ,Not Specified ,Not Specified ,Text ,Instagram
Lu do Magalu ,"Instagram, YouTube, TikTok, Facebook, X ",30M+ ,General AI ,Not Specified ,Not Specified ,Not Specified ,Text ,Instagram
Stella ,Instagram ,Not Specified ,AI Persona/Entertainment ,Not Specified ,Photo/Video ,@daviddobrik's Halloween party ,Text ,Instagram
Sabrina Ramonov ,TikTok ,Not Specified ,"AI Education, AI Avatars, Content Creation ",High (Implied by multiple mentions & references) ,"Tutorials, Educational Content, AI Avatar Promotion ",@Sabrina Ramonov ,Multiple Sources ,TikTok
CatGPT ,TikTok ,Not Specified ,AI Content Generation ,High (Implied by multiple mentions) ,AI-Generated Content ,@CatGPT ,Multiple Sources ,TikTok
Brand ,TikTok ,Not Specified ,AI Content Generation ,High (Implied by multiple mentions) ,AI-Generated Content ,@Brand ,Multiple Sources ,TikTok
Lexxi Rosaé ,TikTok ,Not Specified ,"Digital Modeling, AI Content Creation ",High (Implied by multiple mentions) ,"Style Inspiration, AI Content ","I'm Lexxi Rosaé – an AI influencer, digital model & creator ✨ AI content isn't just the future—it's the now. From style inspo to digital ",Multiple Sources ,TikTok
Aidaptive ,X (Twitter) ,299 ,"AI, Science & Technology ",(Not Specified) ,"Posts, Media ",[https://x.com/aidaptive_](https://x.com/aidaptive_) ,Text ,X (Twitter)
insightdottech ,X (Twitter) ,(Not Specified) ,"AI, Digital Transformation ",(Not Specified) ,(Not Specified) ,[https://x.com/insightdottech](https://x.com/insightdottech) ,Text ,X (Twitter)
@chidambara09 ,X (Twitter) ,(Not Specified) ,"AI, Tech Enthusiast/Developer ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
Evan Kirstel ,X (Twitter) ,(Not Specified) ,"AI, Tech Enthusiast/Developer ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
Jim Harris ,X (Twitter) ,(Not Specified) ,"AI, Tech Enthusiast/Developer ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
Harold Sinnott ,X (Twitter) ,(Not Specified) ,"AI, Tech Enthusiast/Developer ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
enilev ,X (Twitter) ,(Not Specified) ,"AI, Tech Enthusiast/Developer ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
BetaMoroney ,X (Twitter) ,(Not Specified) ,"AI, Tech Enthusiast/Developer ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
ASUS ,X (Twitter) ,(Not Specified) ,"AI, Tech ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
nvidia ,X (Twitter) ,(Not Specified) ,"AI, Tech ",(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,X (Twitter)
Matt Szaton ,YouTube ,Unknown (Subscribers: 24200) ,"AI Influencer Creation, Automation Tools ","High (Likes: 611, Views: 24171) ","Tutorials, Videos on AI Tools ","[https://mattszaton.com/apob2](https://mattszaton.com/apob2), [https://www.skool.com/monetizers](https://www.skool.com/monetizers), [https://mattszaton.com/aitools](https://mattszaton.com/aitools) ",Multiple Videos ,YouTube
Philipp Weiser ,YouTube ,3560 Subscribers ,"AI Influencer Creation, Tool Recommendations ","Moderate (Likes: 178, Views: 4514) ","Tutorials, Analysis of AI Influencer Tools ","[https://www.youtube.com/watch?v=NSql2_C6ZOo](https://www.youtube.com/watch?v=NSql2_C6ZOo) (Main Link), [https://rendernet.ai/?via=philipp](https://rendernet.ai/?via=philipp) (Tools) ",Multiple Videos ,YouTube
Dan Kieft ,YouTube ,28875 Views ,AI Influencer Monetization ,High (Views: 28875) ,"Tutorials, How-to Guides on Monetizing AI Influencers ","[https://openart.ai/home?ref=aitanalopez](https://openart.ai/home?ref=aitanalopez), [https://www.fanvue.com/signup?referral=FV-Z11BFP](https://www.fanvue.com/signup?referral=FV-Z11BFP) ",Multiple Videos ,YouTube
CNBC ,N/A ,4059999 Subscribers ,AI Influencers & the Future of Content ,High (Views: 4059999) ,"Documentary, Analysis of AI Influencers ",[https://cnb.cx/SubscribeCNBC](https://cnb.cx/SubscribeCNBC) (Main Link) ,CNBC Video ,YouTube
Jason Lee ,YouTube ,165000 Subscribers ,AI Influencer Creation & Monetization ,High (Views: 50894) ,"Tutorials, How-to Guides ","[https://go.heyjasonlee.com/arcads](https://go.heyjasonlee.com/arcads), [https://www.skool.com/creatorx](https://www.skool.com/creatorx) ",Multiple Videos ,YouTube
Tess Barclay & Busy Blooming ,YouTube ,89900 Subscribers ,AI Influencer Content Creation & Growth ,Moderate (Views: 9673) ,"Tutorials, Content Creation Strategies ","[https://apple.co/3OsCVEK](https://apple.co/3OsCVEK), [https://bit.ly/3CHpmPo](https://bit.ly/3CHpmPo), [https://get.descript.com/tess](https://get.descript.com/tess), [https://riverside.fm/?via=tess-barclay](https://riverside.fm/?via=tess-barclay), [https://getrella.com/?via=busyblooming](https://getrella.com/?via=busyblooming) ",Multiple Videos ,YouTube
The View ,N/A ,188K views ,AI Influencers & the Future of Content ,High (Views: 188K) ,"Documentary, Analysis of AI Influencers ",[https://cnb.cx/SubscribeCNBC](https://cnb.cx/SubscribeCNBC) ,CNBC Video ,YouTube
Sabrina Ramonov ,TikTok ,Not Specified ,"AI Education, AI Avatars, Content Creation ",High (Implied by multiple mentions & discussions) ,"Tutorials, Tips, AI Avatar Creation ",@Sabrina Ramonov ,Multiple Sources ,TikTok
CatGPT ,TikTok ,Not Specified ,AI Content Generation ,High (Implied by multiple mentions) ,"AI-Generated Content, Style Inspiration ",@CatGPT ,Multiple Sources ,TikTok
Brand ,TikTok ,Not Specified ,"AI Content Generation, Branding ",High (Implied by multiple mentions) ,"AI-Generated Content, Style Inspiration ",@Brand ,Multiple Sources ,TikTok
Lexxi Rosaé ,TikTok ,Not Specified ,"Digital Modeling, AI Content Creation ",High (Implied by multiple mentions) ,"Style Inspiration, AI Content ","I'm Lexxi Rosaé – an AI influencer, digital model & creator ✨ AI content isn't just the future—it's the now. From style inspo to digital ",Multiple Sources ,TikTok
Lil Miquela ,Instagram ,3M ,(Implied: Fashion/Lifestyle) ,High (Implied) ,"(Implied: High-quality visuals, collaborations) ",(Not Specified) ,Text ,Instagram
Shudu Gram ,Instagram ,(Not Specified) ,(Implied: Fashion/Beauty) ,(Not Specified) ,(Not Specified) ,(Not Specified) ,Text ,Instagram
Lu do Magalu ,"Instagram, YouTube, TikTok, Facebook, X ",30M+ ,(Implied: Entertainment/Retail) ,(Implied: High) ,(Implied: Varied - likely video content) ,(Not Specified) ,Text ,Instagram
Emily Pellegrini ,Instagram ,"377,237 ",AI Education/Research ,(Not Specified) ,"(Implied: Educational content, photos) ",@professor.ep ,Text ,Instagram
Avani ,Instagram ,(Not Specified) ,(Implied: Marketing/Lifestyle) ,(Not Specified) ,(Implied: Varied - likely dynamic content) ,@bad.mktg ,Text ,Instagram
Leo Michaela ,Instagram ,(Not Specified) ,(Implied: Top AI Influencer) ,(Not Specified) ,(Implied: High-quality visuals) ,(Not Specified) ,Text ,Instagram
Stella ,Instagram ,(Not Specified) ,(Implied: Fashion/Entertainment) ,(Not Specified) ,(Implied: Photo/Video Content) ,@fit_aitana ,Text ,Instagram
